Ch1,Ch2,Cluster_1_2,droplet
563.3165,1407.80066,0,1
3941.12622,1206.688,10,2
515.8144,1250.48108,0,3
3916.50732,1526.92139,10,4
559.8436,4118.51563,1,5
3381.12378,1483.15759,10,6
488.0293,1164.28674,0,7
3074.5647,1311.57,10,8
427.8886,1266.42444,0,9
3464.995,1379.67126,10,10
477.716553,1103.11511,0,11
559.841553,1439.11,0,12
3320.085,1206.54248,10,13
489.0831,1004.4278,0,14
482.1567,1139.69458,0,15
3492.84229,1114.29248,10,16
457.60257,1167.65637,0,17
524.0257,1412.68665,0,18
462.163116,1035.396,0,19
500.883575,1283.41333,0,20
492.755524,1230.4801,0,21
460.4251,1115.24146,0,22
497.593262,1073.85571,0,23
463.117767,4191.44,1,24
498.442383,5139.595,1,25
3363.34814,4169.40234,11,26
4068.82373,1373.93,10,27
711.316833,1220.73291,0,28
3603.08862,4479.698,11,29
413.819641,940.0324,0,30
632.238037,1318.90369,0,31
473.808319,1011.287,0,32
439.281342,877.573669,0,33
4410.75146,1340.93762,10,34
462.061371,4467.785,1,35
504.2409,1116.63477,0,36
459.2278,1245.602,0,37
3758.05762,1178.15637,10,38
556.4796,1197.57214,0,39
568.222656,1166.38757,0,40
645.1784,1342.62878,0,41
3544.99658,1090.48511,10,42
577.522,1108.1593,0,43
412.271759,3875.01587,1,44
492.008728,1020.67,0,45
631.2947,1578.4,0,46
585.110657,1154.11584,0,47
3917.0625,4668.41162,11,48
459.578766,904.6475,0,49
4251.93164,1439.15381,10,50
4093.69922,1387.91724,10,51
539.0327,1220.3053,0,52
506.8376,1099.42249,0,53
513.664063,1156.68689,0,54
579.115845,1103.40833,0,55
529.9239,1207.05518,0,56
515.0279,1142.67834,0,57
4058.2644,4750.238,11,58
546.7076,1340.0592,0,59
595.960144,1268.37622,0,60
534.9385,1346.43982,0,61
3576.27466,1105.71448,10,62
553.170349,1426.60669,0,63
3633.69653,1218.20325,10,64
527.9842,1265.37524,0,65
444.379,1122.59961,0,66
480.849731,1018.21228,0,67
515.8363,1103.96533,0,68
580.9996,1250.7666,0,69
601.866,1340.75012,0,70
609.4666,3963.60034,1,71
3582.4043,927.5918,10,72
2770.8103,953.848,10,73
524.8254,1118.02527,0,74
3792.59351,1318.27344,10,75
603.6453,1451.66272,0,76
629.446533,1343.54382,0,77
2895.45264,963.797852,10,78
3988.26147,1250.052,10,79
490.757843,4275.153,1,80
487.179474,1067.84521,0,81
3984.6792,1259.32458,10,82
628.0504,1425.81775,0,83
525.840759,4097.047,1,84
556.5329,4574.621,1,85
583.7234,1193.85474,0,86
558.714539,1074.03918,0,87
551.790833,1028.56189,0,88
3486.99438,3968.89673,11,89
2820.33716,1114.544,10,90
503.0401,1111.6073,0,91
530.262268,1297.87952,0,92
483.187683,1080.36584,0,93
3964.54834,1158.42432,10,94
586.3549,1183.471,0,95
599.0424,1253.21375,0,96
530.713745,935.878845,0,97
492.42746,1099.60059,0,98
4086.81738,1317.83923,10,99
506.346039,1079.265,0,100
504.809845,1076.07043,0,101
492.618164,1092.73755,0,102
3558.37,1260.79041,10,103
455.224823,3744.13062,1,104
2893.845,919.372559,10,105
570.1331,1158.14526,0,106
514.885559,1142.37512,0,107
364.1946,3313.98364,1,108
625.4996,1310.97192,0,109
3789.527,4243.78467,11,110
509.440735,1248.35913,0,111
634.742065,1522.68494,0,112
580.8369,1106.37158,0,113
