Ch1,Ch2,Ch3,cluster
1541.52673,1124.97437,537.9968,0
1523.70374,1055.2002,408.3563,0
1604.35974,957.341,366.1566,0
1654.61292,992.267761,391.3555,0
1574.95056,1153.52722,450.200165,0
1508.59216,1124.66382,433.233063,0
1571.61511,997.0186,489.975037,0
4481.23,1258.83911,415.915436,100000
1521.91724,1057.3623,453.4347,0
1571.007,1072.785,423.4121,0
1540.54053,1171.87817,467.59726,0
1550.197,1115.13245,399.506927,0
1591.69,979.774353,396.999146,0
1497.09644,1085.849,452.1942,0
1469.857,1096.42029,388.688263,0
1548.26135,1020.20972,405.4854,0
1546.48071,1087.44592,392.1312,0
1494.50952,1148.12781,360.660767,0
1633.12024,1036.65125,418.036926,0
1438.50842,2360.35059,454.897156,10000
1518.45337,1055.344,392.317749,0
1539.42017,1067.67676,458.939331,0
1498.76477,1060.7428,413.6186,0
1533.31018,1117.76038,387.904022,0
1548.086,1092.11389,452.190063,0
1549.421,1052.57153,450.760162,0
1568.15662,966.511353,401.153046,0
1469.62976,1087.00793,435.6289,0
1501.21375,1092.44177,376.819336,0
1550.479,1148.75854,415.473236,0
1561.689,994.70166,419.9526,0
1496.44531,1123.73926,421.7257,0
1464.50977,1117.1792,423.786,0
1574.27234,1072.58215,395.3772,0
1515.55115,1062.66162,430.3459,0
1539.733,1014.563,9018.568,1000
1504.37146,1025.68408,400.5424,0
1586.61914,1070.00281,8920.83,1000
1491.99548,1127.827,412.978271,0
1520.49438,1110.6239,453.7024,0
1598.28,1096.66785,501.9836,0
1578.03809,999.457947,436.950317,0
1537.04126,2158.80542,484.398132,10000
1539.14722,1116.32251,405.391632,0
1528.07385,1028.0824,409.529419,0
1494.34106,997.597839,408.711426,0
1617.281,957.5383,352.08252,0
1590.01978,986.4409,464.12616,0
1566.73083,1092.47961,426.7252,0
1541.37817,1180.80286,432.072662,0
1454.902,999.5935,456.5591,0
1515.4342,1001.0199,462.5959,0
1466.60437,1919.5553,8623.577,11000
1564.81555,1043.02539,459.6691,0
1679.643,974.7044,430.3119,0
1543.34265,1026.666,391.242645,0
1498.853,1030.66309,9274.357,1000
4563.19,1202.13867,440.315857,100000
1537.82056,1100.80835,392.9869,0
1538.68518,1038.83228,412.192017,0
1488.19971,1131.933,9511.982,1000
1483.69385,2275.5957,470.4867,10000
1621.57324,1119.23,376.435577,0
1418.26624,1117.79517,391.672333,0
1535.09155,1080.95972,407.555664,0
1508.21765,1092.65161,413.283478,0
1550.2561,984.6206,410.288574,0
1468.819,1094.70911,423.9484,0
1572.60742,1009.87946,433.748444,0
1550.75952,1048.68237,9217.629,1000
1500.11755,1006.31476,382.6122,0
1480.77722,1104.45361,422.988037,0
1439.35486,1090.998,437.8742,0
1530.40076,1213.97693,372.585327,0
1553.76282,1033.93713,472.166321,0
1422.597,1128.78333,374.543823,0
1459.86426,1093.71948,414.600525,0
4477.757,964.122437,411.588867,100000
1581.826,1092.28833,409.0786,0
1589.72937,966.780334,9297.334,1000
4664.80127,953.710632,458.4106,100000
1568.68311,1076.883,9918.405,1000
1458.73914,1162.67432,430.506226,0
1486.80908,1138.47473,431.113647,0
1599.28015,1090.53687,458.463928,0
1588.79211,1094.28186,443.667847,0
1401.00439,1160.46631,427.6388,0
1681.0957,960.2677,398.5937,0
1545.72021,1228.29639,444.505371,0
1526.50537,1075.51416,413.1542,0
1562.69653,953.263733,416.813141,0
1536.48279,1045.20166,428.83725,0
1612.4248,1074.75757,422.862122,0
1518.64734,1067.03284,445.0918,0
1503.20874,929.936951,401.63504,0
4447.103,2114.618,437.686218,110000
1575.03772,1026.69,9194.76,1000
1568.64941,1007.68414,426.643,0
1613.92859,1036.64026,417.8549,0
1481.28,1113.16565,8826.335,1000
1422.81653,1014.99689,417.8178,0
1515.63281,1081.53772,400.6556,0
1560.30945,1090.49707,8857.026,1000
1389.73987,1108.93726,403.866821,0
1784.17346,1129.35449,555.3848,0
1599.19775,1074.51379,9580.7,1000
1561.74841,937.336243,438.120941,0
1427.88953,1110.075,380.0568,0
1524.98364,1078.39124,439.159668,0
1536.17334,1020.80408,437.5049,0
1647.9292,1102.14111,411.869781,0
1479.85852,1090.72449,400.071655,0
1575.65747,1118.89722,406.7014,0
1493.39587,1016.88794,378.4789,0
1668.2583,1099.07422,397.572754,0
4639.69727,1112.29749,458.183441,100000
1552.69458,991.24115,376.92688,0
1587.2406,1061.30908,396.886841,0
4566.24268,1042.4845,387.960052,100000
1578.77686,1014.83984,408.335419,0
1484.45532,1113.97156,411.2571,0
1522.03357,1056.1,414.327942,0
1533.23987,1114.11584,466.3828,0
1578.24451,1122.69287,412.960144,0
1463.99023,1032.889,399.7466,0
1516.167,1094.93982,444.356537,0
1603.311,886.4455,412.2797,0
1575.66992,1114.66125,427.478638,0
4669.36328,1052.7019,425.669983,100000
1579.229,981.9793,470.435059,0
1640.659,1046.38037,481.4404,0
1550.402,1015.7442,389.425323,0
1528.06091,1083.989,414.4831,0
1555.92761,2193.6123,472.066223,10000
1611.92847,1041.37781,421.528137,0
1556.57788,1017.26306,441.955719,0
1500.01843,2344.74243,449.860352,10000
1450.96753,1151.94739,384.463043,0
1562.61865,1076.02087,8853.251,1000
1568.065,1049.18982,446.3316,0
4580.74561,2505.56079,587.3451,110000
1524.13037,1179.52271,447.662537,0
1509.59839,1032.73645,401.6404,0
1512.29736,1030.5188,391.158234,0
1499.62939,1004.45789,427.9687,0
1634.54272,1096.19666,459.703644,0
1541.92932,1173.30359,8973.824,1000
1437.04272,1073.24548,431.5788,0
1629.88293,1007.40552,409.780243,0
1522.71777,1055.90808,456.422,0
1626.3822,978.152039,9261.387,1000
1531.98413,981.901855,406.169678,0
1476.11,1084.13062,9289.919,1000
1518.19946,1091.847,389.1139,0
1551.55322,994.0116,391.5644,0
