Ch1,Ch2,Ch3,cluster
1438.05066,2112.30957,9231.343,11000
1551.3512,985.2772,9356.448,1000
4693.46338,2154.46,587.352966,110000
1601.47461,1054.65869,492.164948,0
4451.84229,1019.04059,9000.148,101000
4512.502,2155.94727,551.2499,110000
4666.617,853.0967,466.684967,100000
1567.60291,2079.8623,495.501923,10000
1423.87439,2180.025,510.3655,10000
1485.1366,1124.22949,9594.682,1000
1479.17566,2193.698,9424.231,11000
1545.85461,1096.14465,9452.253,1000
1551.14136,1077.16479,480.985046,0
4624.63,2035.32019,9254.749,111000
1596.47375,2171.567,567.0854,10000
1409.011,2075.236,9459.99,11000
4421.716,968.0787,466.743378,100000
1478.761,2015.03955,9145.381,11000
4375.031,2153.49658,9278.132,111000
4406.158,1041.9729,474.075165,100000
1530.45544,2084.281,9098.027,11000
1552.36121,2078.94678,539.1172,10000
1589.92114,1089.418,9499.076,1000
4763.96875,929.196655,502.83548,100000
4433.37744,2038.81567,597.6211,110000
4399.728,1076.57446,445.9224,100000
1540.78369,1068.857,9323.155,1000
1477.19861,2185.253,9433.731,11000
4363.16455,1004.75726,453.142151,100000
4588.256,1929.70032,586.745056,110000
1489.66931,2063.67358,523.1633,10000
1399.21143,2116.42676,510.1025,10000
1486.45532,1049.20056,493.403961,0
4345.79736,1078.1333,482.82843,100000
4453.518,2218.004,551.694763,110000
4472.37451,1096.44885,490.097321,100000
4734.97852,1006.99353,510.6648,100000
1493.87488,1126.69385,9310.493,1000
1546.585,2067.13965,545.9832,10000
4920.166,2481.57373,681.928955,110000
4708.585,1121.12378,494.345856,100000
1527.22253,2230.615,568.8656,10000
1537.58142,2078.95166,506.54364,10000
1469.248,2162.30469,540.3842,10000
1502.03113,1061.83032,451.833221,0
1472.74487,2230.4502,487.375824,10000
4339.22656,1033.91272,472.752258,100000
4376.36475,1045.19336,516.056763,100000
1433.19641,1966.83936,8764.136,11000
1615.18811,1029.68225,8940.689,1000
4335.263,1136.28906,463.18335,100000
1429.079,1086.95349,466.942963,0
1625.496,1154.81726,9556.652,1000
1448.50415,2195.72534,9563.169,11000
1504.99365,2119.66113,543.7613,10000
1471.95862,1074.531,9324.547,1000
1565.79016,2126.214,9639.998,11000
4378.944,2083.38257,591.437134,110000
1437.10962,2152.21436,553.485657,10000
4322.536,2319.36865,540.3352,110000
4567.54,895.9734,9352.921,101000
1582.20471,2042.567,9225.187,11000
1438.94531,2205.22827,569.2713,10000
4264.487,2153.67285,8853.199,111000
1496.368,1071.64124,471.341,0
1526.4574,1089.40247,9633.68,1000
4492.39355,1014.7384,488.94455,100000
4565.94531,2097.242,9229.565,111000
1626.05823,1056.25549,9497.24,1000
4774.07666,937.41864,499.9964,100000
1509.65381,989.586243,8980.117,1000
1552.59167,2068.38965,606.299255,10000
4478.48047,1105.62366,490.221558,100000
4372.684,988.5513,485.971649,100000
4366.90234,1923.04614,8746.049,111000
1450.61169,2103.027,542.3728,10000
1489.30566,2066.94238,9133.721,11000
3191.818,1137.4436,9377.513,101000
4505.023,988.557556,9437.076,101000
4303.289,2059.54785,8900.396,111000
1554.653,1118.15381,10095.7734,1000
1487.77808,2207.08374,9424.8,11000
4496.15,947.2699,435.670227,100000
4365.17139,2041.82336,8715.498,111000
1645.46545,1036.70923,9162.958,1000
1604.03784,963.2748,445.309174,0
1493.71484,2171.581,564.3691,10000
1490.76624,2070.70972,527.7169,10000
4419.105,1043.532,9220.589,101000
4365.644,1124.98328,507.694153,100000
4222.40625,2119.61182,8951.598,111000
1514.2644,2000.13367,9144.772,11000
1521.84009,1070.50366,9111.444,1000
4382.379,2210.036,558.991,110000
4351.13135,1008.76941,8657.656,101000
4443.701,2231.88257,9094.515,111000
1650.206,1010.29987,442.1782,0
1514.31555,1060.51233,9157.424,1000
1449.3689,2122.029,9190.333,11000
1436.26025,1125.31787,433.2133,0
4439.35059,2125.891,8756.823,111000
4529.32,937.2013,457.6327,100000
1440.23682,1847.5863,8701.207,11000
1528.94458,2083.971,538.9997,10000
1376.725,2351.48218,9596.763,11000
4435.15137,2130.747,9343.031,111000
4264.942,2203.04517,8700.016,111000
4624.40137,2005.66614,8535.096,111000
1418.636,2077.14819,9006.375,11000
1716.01868,1048.25,492.80127,0
4319.395,1163.05566,506.384033,100000
1480.1239,1093.19849,9494.722,1000
4652.993,965.603455,550.518555,100000
4373.72754,1008.57147,9230.094,101000
4250.685,1140.93262,8672.75,101000
4537.894,1081.10547,441.703247,100000
4607.54053,2493.18237,599.761,110000
1516.29956,2201.16772,559.4424,10000
1461.0658,2090.78564,9178.223,11000
4414.58,992.779541,9564.589,101000
4628.954,1153.50354,451.276245,100000
1486.05493,1129.40808,9323.299,1000
1467.65857,2198.599,530.6245,10000
1515.25842,2092.95068,9457.495,11000
4449.42,2218.284,9344.032,111000
4474.3877,1015.26178,9261.604,101000
1607.95544,1032.02661,9275.742,1000
4433.75537,1085.74524,442.53476,100000
4620.19629,2161.38525,590.3052,110000
4608.271,1099.04578,488.618134,100000
4307.56152,1090.207,447.3549,100000
1419.51685,2126.08374,8979.95,11000
4483.279,948.28656,9128.59,101000
4732.60645,2147.20264,568.704651,110000
4424.452,2012.58276,8815.412,111000
4345.117,2205.772,8982.219,111000
4263.062,2006.28833,8730.57,111000
1472.789,1138.83826,483.929657,0
1362.60217,1066.9054,9131.598,1000
1508.59143,2064.38525,9222.812,11000
1438.90808,2299.26147,9490.454,11000
1442.70544,2136.7207,9276.789,11000
1501.451,2290.181,570.473,10000
1441.23755,975.860046,378.780518,0
4350.23535,2069.49121,9452.408,111000
4327.835,944.100647,8995.244,101000
4613.675,1242.27258,437.095032,100000
1527.494,2196.28687,606.122864,10000
4438.72852,2099.09155,588.794,110000
1472.3219,2142.683,8920.519,11000
1392.24744,2146.61353,521.7198,10000
1532.18481,2135.47217,561.066833,10000
1452.242,2072.09863,9329.106,11000
1477.30017,1175.10669,9563.01,1000
1451.32935,2101.66235,9146.478,11000
4502.63037,1208.5011,470.359467,100000
4115.85,1841.36011,8112.86328,111000
1611.47644,2077.60449,9283.609,11000
1482.68579,995.5562,464.769348,0
1505.44543,1055.02075,466.627075,0
4536.89648,2130.35352,582.0081,110000
4535.78467,950.019165,503.15,100000
4467.23633,2107.37061,605.523865,110000
4367.3833,2280.577,549.252258,110000
4511.544,2093.96851,533.2264,110000
4367.79932,1057.67566,501.576935,100000
1528.41467,2097.06616,9389.065,11000
1435.34619,2129.779,9514.601,11000
1575.46741,981.3482,10054.7705,1000
4697.815,2422.2356,9788.97949,111000
4572.09668,918.3442,488.6276,100000
1532.72375,1101.36646,420.618,0
4725.15967,2120.57544,573.7024,110000
4314.286,2129.26,9132.727,111000
4680.02148,1000.07428,508.670044,100000
1665.45825,1067.587,514.762451,0
1434.44373,2029.20508,8993.026,11000
1553.33081,1087.09888,9635.084,1000
1543.8158,1057.59241,9468.877,1000
4306.81738,1923.92712,8839.472,111000
4287.826,2101.94629,609.845032,110000
4257.595,1971.10791,8776.905,111000
4357.657,1021.67334,462.139343,100000
1551.17639,2059.13452,9288.923,11000
4270.06641,1849.458,8983.379,111000
1508.50378,2026.50452,511.31485,10000
1563.88647,1071.473,9606.927,1000
1450.3446,1059.65845,496.7002,0
1541.46692,1067.77673,467.786835,0
1555.20459,1016.01477,461.972076,0
1446.054,2016.02954,532.7722,10000
1588.9967,1102.15332,9421.526,1000
