Ch1,Ch2,Ch3,cluster
1562.47,1056.89368,436.019775,0
1470.90747,2146.74951,8879.166,11000
1533.51782,1070.12061,405.6118,0
1577.82019,1069.60156,452.364441,0
1478.5874,1083.49548,423.066864,0
1502.3822,1139.08,483.0611,0
1496.654,1057.51367,8819.988,1000
1524.93018,1040.29993,437.5502,0
4689.8877,2316.08838,519.1035,110000
1601.4762,1146.22266,9120.448,1000
1556.54248,1003.6272,378.1996,0
1569.94849,1131.57043,418.768372,0
1559.70337,1090.99976,427.314,0
1656.36,1056.13647,435.989532,0
1592.22925,2249.0166,493.3832,10000
1581.03857,1069.0105,9025.256,1000
1612.48535,982.792358,430.657043,0
4402.063,1023.36261,414.658356,100000
1363.697,1120.97852,473.102936,0
1575.09839,983.3654,434.856354,0
1457.47961,2270.56274,473.826,10000
1522.84644,1050.04321,466.621033,0
4470.51367,998.6079,436.756683,100000
1622.85608,1122.92041,399.338867,0
1416.93872,2245.288,471.77832,10000
4356.58154,1128.543,430.398163,100000
1534.18359,1109.75989,470.743347,0
1464.19556,1051.60046,413.462463,0
1637.2417,1026.28564,478.715942,0
1598.94458,1127.35632,475.819122,0
1569.68848,980.777466,417.8634,0
1514.90332,1037.2251,377.57373,0
1544.52454,1137.73535,434.036316,0
1579.04407,1021.96509,450.3152,0
1535.21021,1101.90234,427.1376,0
4314.85352,2161.26685,466.799225,110000
1522.333,2074.889,443.4955,10000
1491.4845,1041.261,371.189,0
1418.77612,1170.58508,426.5635,0
1488.97412,1034.01074,385.927856,0
1646.37415,940.5713,434.967926,0
1509.33887,1130.412,435.410919,0
1480.98108,1066.63953,422.600159,0
1378.79443,2032.50134,483.301941,10000
1530.99146,2285.37866,505.510254,10000
1505.46045,1127.89026,439.7464,0
1480.04932,2125.915,470.59082,10000
1540.13647,1146.59473,390.8531,0
4563.994,944.7293,466.860352,100000
1561.87158,1122.41174,9129.111,1000
1676.76807,972.546448,487.058228,0
1410.43628,1128.30762,445.9969,0
1600.48291,1057.79846,473.63382,0
1505.97681,1006.1413,398.106,0
1506.21326,1065.68494,439.660645,0
1504.21094,1099.445,8818.386,1000
4420.18848,1117.39111,431.8857,100000
1475.65564,1053.14368,441.4727,0
