Ch1,Ch2,Cluster_1_2,droplet
558.0339,4676.04,1,1
3970.93286,1440.45435,10,2
3761.48877,4499.48,11,3
3867.59131,4769.624,11,4
3913.88867,1538.19336,10,5
715.457031,1458.70764,0,6
664.7144,4559.71045,1,7
552.7078,4694.249,1,8
677.639832,1460.764,0,9
3646.032,1532.31726,10,10
3976.29688,4428.043,11,11
3683.67163,4840.444,11,12
4071.5896,4571.24463,11,13
3912.39355,1598.42456,10,14
3582.23364,1858.31165,10,15
686.68396,1406.31482,0,16
3894.93579,4413.03369,11,17
3831.03076,4886.462,11,18
4101.52832,4502.17,11,19
3104.67139,4164.62451,11,20
3681.59033,4461.979,11,21
4159.12061,4681.845,11,22
3195.14966,4671.299,11,23
4112.92041,1631.24,10,24
668.45166,4720.158,1,25
3214.77783,4900.686,11,26
3895.5415,4737.27832,11,27
695.219666,4592.409,1,28
4298.15967,1454.20154,10,29
3205.3938,4816.90674,11,30
3997.75757,4804.47949,11,31
3581.99585,4741.6,11,32
4233.43066,1632.09717,10,33
604.9639,4562.946,1,34
639.773438,4740.45752,1,35
3722.21777,4497.53369,11,36
3328.33618,4485.004,11,37
4081.16235,1459.678,10,38
4279.095,1546.517,10,39
596.32135,4356.43457,1,40
3973.49487,4735.48633,11,41
4009.6936,4881.61,11,42
3765.2373,4851.34131,11,43
3851.07886,4934.44971,11,44
3730.91748,4691.35352,11,45
3686.34961,4966.718,11,46
3468.38745,4447.3457,11,47
3426.87231,4901.18555,11,48
3910.90576,1496.60852,10,49
601.55835,4724.979,1,50
3336.2688,4250.96631,11,51
3555.22119,4657.68262,11,52
3976.84741,4478.26172,11,53
3661.69946,4566.66064,11,54
4226.335,4829.65039,11,55
3756.676,4508.218,11,56
3590.713,4203.958,11,57
4276.94971,4555.26367,11,58
592.5996,4620.86865,1,59
527.1033,4764.40869,1,60
3485.65112,4579.27539,11,61
645.2685,4575.51855,1,62
4051.25342,4786.6626,11,63
3728.10547,4651.85938,11,64
657.8734,4435.373,1,65
2801.65063,4622.948,11,66
4179.31445,1541.50769,10,67
3788.91235,4617.53174,11,68
2643.47754,4640.999,11,69
4162.2666,4736.75342,11,70
4399.589,4569.217,11,71
2505.72729,4666.922,11,72
4033.589,1461.13538,10,73
3733.73633,1492,10,74
4269.731,1524.48792,10,75
587.973755,4720.6377,1,76
4044.613,4605.025,11,77
633.073059,1368.47839,0,78
3548.17651,4641.41553,11,79
4184.84033,1453.53845,10,80
604.8971,4724.897,1,81
3404.605,4732.15625,11,82
3860.96777,4285.541,11,83
3762.2002,4703.01,11,84
3641.802,4019.86646,11,85
632.3913,4900.46729,1,86
4391.42871,1507.63745,10,87
3518.212,4552.86035,11,88
3781.67236,4938.81738,11,89
3831.99,1563.3136,10,90
3960.655,1499.57166,10,91
724.4831,1376.73792,0,92
3159.49316,4225.813,11,93
3889.40186,4724.329,11,94
2601.09277,4835.58,11,95
4028.094,4683.421,11,96
604.668335,1649.59973,0,97
4220.26367,4651.81934,11,98
3431.763,4245.51172,11,99
4038.001,4230.499,11,100
3499.82983,4635.00244,11,101
4220.91553,2368.1272,11,102
3616.46069,4574.33545,11,103
3854.097,1368.10022,10,104
3863.3667,4816.25439,11,105
593.9306,4642.546,1,106
3909.96387,4674.86475,11,107
4237.6665,4400.86865,11,108
3961.941,4482.49951,11,109
4044.24658,4845.65967,11,110
3876.07983,4717.998,11,111
4352.82275,1447.56348,10,112
3905.89624,4450.69775,11,113
4176.49854,1485.061,10,114
3631.89453,4589.06445,11,115
3192.63086,1545.07654,10,116
2745.72583,4466.76367,11,117
640.371,4323.486,1,118
3691.35449,4164.44971,11,119
604.6926,4532.371,1,120
3509.616,4530.47363,11,121
565.748535,4668.683,1,122
4375.31055,1324.66406,10,123
3961.03979,4636.54932,11,124
3920.023,1552.4762,10,125
580.3217,3954.93359,1,126
4170.03271,4405.194,11,127
576.320068,4766.03027,1,128
4025.81738,4610.1123,11,129
589.2538,4671.12256,1,130
621.2412,4788.343,1,131
3923.58838,4845.23535,11,132
3586.77979,4687.55371,11,133
3733.68726,1416.91638,10,134
3413.15112,4672.391,11,135
547.9605,5044.106,1,136
624.0329,1459.49963,0,137
3418.15674,4664.49463,11,138
595.0663,4602.18262,1,139
3862.00244,1465.45447,10,140
626.8182,4660.675,1,141
721.7096,1463.89355,0,142
3695.24146,4869.75635,11,143
684.9298,4446.545,1,144
3887.84033,4666.59766,11,145
3891.66919,4747.32129,11,146
3542.31274,4795.38867,11,147
3479.461,4373.90234,11,148
3641.16724,4736.82373,11,149
3310.71265,4570.30566,11,150
572.8394,4459.29443,1,151
554.1304,4375.14063,1,152
3934.411,4762.341,11,153
4374.5,1402.02344,10,154
4011.48584,4810.302,11,155
3912.00635,4531.33545,11,156
624.2771,4758.65869,1,157
3804.618,1661.79077,10,158
4334.04639,4519.587,11,159
