Ch1,Ch2,Cluster_1_2,droplet
3470.57153,4908.66455,11,1
3176.86914,4610.619,11,2
3726.92578,4991.0166,11,3
3213.712,4504.99756,11,4
4171.07,4811.332,11,5
3664.76758,1515.35522,10,6
3556.59424,1375.20361,10,7
730.085266,1353.70068,0,8
4259.50635,4638.756,11,9
4033.459,4996.369,11,10
4313.9873,4826.67432,11,11
4262.71338,4998.643,11,12
3942.38354,4884.74268,11,13
651.4534,4552.006,1,14
4375.618,5012.92871,11,15
628.274841,4913.746,1,16
3751.692,4613.92334,11,17
4043.18066,4778.499,11,18
3520.34082,1550.06848,10,19
593.213257,4926.21143,1,20
712.831665,1395.91284,0,21
607.2686,4706.51465,1,22
701.916931,1322.4176,0,23
661.32135,4702.77637,1,24
3458.428,4294.4043,11,25
3198.84277,4600.215,11,26
3772.01758,1440.04468,10,27
4029.15845,4619.114,11,28
4212.2124,4825.9873,11,29
3785.371,1472.35828,10,30
4048.73364,1632.31433,10,31
3001.65576,1536.13953,10,32
4059.28979,4914.47852,11,33
4163.34229,4807.84668,11,34
3609.047,5085.882,11,35
4180.20068,1493.17273,10,36
3072.92017,4776.31738,11,37
3314.04663,4767.8457,11,38
605.001465,4627.16455,1,39
633.5957,4470.192,1,40
4027.03613,4657.03564,11,41
687.1188,4704.841,1,42
632.285645,4281.301,1,43
3495.94165,4782.452,11,44
3359.80029,4549.28027,11,45
4395.49756,1390.44421,10,46
629.1539,1388.83435,0,47
3597.90625,1217.66663,10,48
3090.72656,4290.285,11,49
4395.87256,4984.19971,11,50
3427.0498,5062.97656,11,51
3882.85254,4864.52637,11,52
623.7924,4685.28467,1,53
3838.12231,4649.618,11,54
3866.906,1389.7572,10,55
3440.184,4869.002,11,56
4451.886,1536.78455,10,57
4038.79663,5195.45,11,58
3906.24341,4814.44775,11,59
3637.28735,4677.495,11,60
4103.725,1390.72913,10,61
2959.29175,4752.90869,11,62
3988.33057,4638.36572,11,63
4261.111,4720.794,11,64
3608.49243,4597.10645,11,65
3638.11377,1571.08936,10,66
3959.68628,4956.017,11,67
3476.28052,4445.45068,11,68
3729.34668,4851.74463,11,69
760.6498,1350.348,0,70
3518.52271,1471.56665,10,71
4159.79639,4490.651,11,72
4410.02637,4857.92334,11,73
4131.72754,4740.164,11,74
3384.489,4439.18555,11,75
3534.628,1310.98486,10,76
3220.102,4592.87256,11,77
2499.677,4896.74658,11,78
3839.92163,4566.53174,11,79
3169.30933,4633.19531,11,80
3095.717,1328.98267,10,81
1117.32861,1437.39258,0,82
4008.70776,1340.499,10,83
3373.81,4765.051,11,84
3869.05151,4799.761,11,85
4002.005,1450.10474,10,86
623.5386,4551.713,1,87
3782.755,1394.99976,10,88
4285.148,1665.39893,10,89
3797.5625,4913.077,11,90
4201.545,4663.34,11,91
3067.56982,4606.28125,11,92
4123.795,4801.85645,11,93
686.734253,4770.53662,1,94
3565.50537,4214.169,11,95
681.485962,4799.925,1,96
791.278931,1295.38855,0,97
4072.40625,4708.88232,11,98
766.2035,1279.66235,0,99
4105.264,4748.739,11,100
4041.64038,1509.59143,10,101
4162.063,1561.20679,10,102
719.5658,1330.77112,0,103
4052.79419,4694.25049,11,104
622.4168,4763.23633,1,105
4129.0415,4864.152,11,106
2412.627,4590.98828,11,107
3955.3208,4747.485,11,108
600.896667,4741.39941,1,109
3950.815,1434.4353,10,110
600.1326,4607.181,1,111
3149.442,4791.204,11,112
574.2945,4665.707,1,113
581.3051,4700.43457,1,114
677.5723,1286.66138,0,115
644.4164,4790.98242,1,116
770.6315,1260.88538,0,117
3866.931,1404.43152,10,118
3745.43213,5185.92,11,119
649.3249,4619.691,1,120
614.1569,4600.45947,1,121
4005.88086,1562.09131,10,122
665.635742,4463.199,1,123
3369.284,1703.00623,10,124
3343.42651,1412.45728,10,125
3347.82373,4913.77051,11,126
585.2106,4812.673,1,127
3232.72388,4795.51,11,128
3917.79614,4559.494,11,129
4130.05566,4355.35352,11,130
3957.53882,4600.73975,11,131
3927.29761,1578.49561,10,132
620.284546,4618.40625,1,133
4150.82227,1482.84253,10,134
627.749,4303.42139,1,135
3556.27661,5019.978,11,136
3337.38257,1314.66687,10,137
3843.283,1388.00256,10,138
681.6439,1447.812,0,139
3163.66333,4319.951,11,140
607.3594,4872.77148,1,141
637.1523,1509.05627,0,142
2641.406,4859.049,11,143
2837.129,1403.3075,10,144
702.8915,1436.17688,0,145
3563.42163,5299.273,11,146
1919.2854,1560.434,10,147
576.1455,4767.3833,1,148
3064.8877,4935.18555,11,149
3008.912,4204.01074,11,150
4004.75415,1443.30408,10,151
3253.545,4676.07373,11,152
3894.16113,5067.10645,11,153
4025.70654,4920.7915,11,154
3419.5,4846.485,11,155
3342.9585,4620.89063,11,156
626.0915,4516.476,1,157
524.5825,4708.96826,1,158
4316.139,1505.366,10,159
3862.50171,1456.47266,10,160
3957.62646,5053.38428,11,161
671.7806,1421.60132,0,162
668.511536,4407.13574,1,163
3945.06348,1532.29407,10,164
3980.64941,4858.046,11,165
3280.63745,4773.75,11,166
3878.95752,4832.23926,11,167
623.297058,4648.637,1,168
4009.96069,4954.434,11,169
3798.9353,4642.585,11,170
3986.60669,4434.99268,11,171
688.417358,4518.37451,1,172
3669.68823,4709.12939,11,173
629.81,4710.076,1,174
3196.22339,4365.29443,11,175
4333.36035,4580.77344,11,176
3802.221,4805.42725,11,177
603.313843,4139.939,1,178
678.0623,1473.79077,0,179
590.4458,4993.67236,1,180
641.7154,4654.383,1,181
3948.1687,1320.06812,10,182
584.098755,5023.74756,1,183
4408.46045,4770.91064,11,184
603.7586,4702.26758,1,185
3160.16846,1442.873,10,186
721.8717,1344.67542,0,187
554.9528,4698.803,1,188
644.98645,4827.04541,1,189
3091.762,1454.97656,10,190
4065.27979,1551.48364,10,191
4072.98364,4753.47266,11,192
3721.2124,4767.77246,11,193
3936.057,4728.23145,11,194
3927.348,1530.0127,10,195
3979.7,4643.615,11,196
2672.54321,4810.28,11,197
3361.25684,4795.35156,11,198
3024.02,1388.3905,10,199
3882.95459,4590.522,11,200
660.871643,4335.638,1,201
3520.51221,1458.06348,10,202
4292.34033,1561.66,10,203
3243.71484,4739.746,11,204
4136.181,1538.43677,10,205
2939.45264,1483.537,10,206
3963.29346,4889.28174,11,207
3642.273,4581.013,11,208
3367.67676,4730.54834,11,209
3784.94141,1600.88159,10,210
3793.72656,4502.86035,11,211
4201.056,4598.256,11,212
2969.26514,1446.968,10,213
3835.239,1461.57068,10,214
3813.14673,4803.761,11,215
607.290161,4692.14,1,216
3010.56152,4368.864,11,217
4037.484,4815.508,11,218
3998.51172,4501.588,11,219
3965.39746,1632.88245,10,220
3471.546,1572.52637,10,221
1950.449,4926.22656,11,222
4313.462,4890.08,11,223
3520.68579,4570.46143,11,224
2994.361,4811.383,11,225
3911.166,4945.39063,11,226
4451.71143,1395.5188,10,227
3324.413,4965.931,11,228
3021.12842,1638.744,10,229
3878.56519,4979.009,11,230
3905.4563,1472.26917,10,231
4211.93848,4735.89063,11,232
2538.13428,1566.29749,10,233
4100.7583,4578.931,11,234
3400.13062,4768.4165,11,235
4127.398,1282.504,10,236
3733.29785,1442.99426,10,237
3482.301,4655.036,11,238
3473.90479,4508.144,11,239
4157.103,1239.24707,10,240
3900.83057,4949.30957,11,241
4113.865,4887.24072,11,242
4064.83472,4593.342,11,243
4021.541,1489.88086,10,244
2975.60986,5129.91064,11,245
2818.27979,4553.221,11,246
3254.30176,4432.267,11,247
3108.506,4812.399,11,248
3488.735,4990.83154,11,249
3449.13672,4646.962,11,250
3765.0166,4813.146,11,251
4034.2395,4535.671,11,252
4012.28223,4725.91748,11,253
3265.12671,4772.83057,11,254
4114.67334,4573.957,11,255
3854.70386,4465.055,11,256
3825.733,4875.942,11,257
4082.894,4963.45752,11,258
4366.668,1563.7583,10,259
631.4837,4645.931,1,260
3958.33716,1433.50037,10,261
4039.03955,4672.57764,11,262
2956.154,4266.05225,11,263
3234.99976,1498.65674,10,264
2788.19946,4692.18555,11,265
514.6092,4957.761,1,266
2796.53027,4464.5874,11,267
4403.72,1469.8606,10,268
2841.78857,4325.141,11,269
2932.05029,4840.28467,11,270
4217.504,4758.737,11,271
708.790039,1359.92444,0,272
3529.314,4730.76465,11,273
3700.365,4553.37354,11,274
3593.73218,4687.096,11,275
604.826,4602.03174,1,276
3241.51514,4745.43066,11,277
3234.24561,1564.70044,10,278
3903.0498,4081.33154,11,279
3846.07129,4550.87354,11,280
3303.30029,4421.71729,11,281
3644.05835,4890.33,11,282
3444.36719,4211.968,11,283
3586.69531,4041.93384,11,284
3751.94775,4955.65332,11,285
3522.609,4796.551,11,286
4247.248,4870.91162,11,287
3395.371,4865.77148,11,288
4166.331,4598.4873,11,289
3512.406,4202.5835,11,290
3222.04761,1472.95349,10,291
3258.35425,4586.133,11,292
2764.94043,4510.32031,11,293
3622.61426,1549.21521,10,294
710.469055,1498.449,0,295
3744.52,4694.183,11,296
3567.84424,4571.60742,11,297
3205.86157,4599.079,11,298
3409.163,4299.301,11,299
4089.58252,4683.40234,11,300
3189.588,4837.059,11,301
3824.74463,4503.611,11,302
3019.01953,4428.01172,11,303
4076.087,4673.557,11,304
3842.761,4509.16162,11,305
3268.75879,1432.40955,10,306
2869.48,5043.68262,11,307
4296.48,1287.69165,10,308
3479.01318,4183.2666,11,309
3907.77856,1421.66235,10,310
2614.65869,4873.76758,11,311
4114.39355,1385.839,10,312
3671.96313,1356.10339,10,313
3966.99951,4766.085,11,314
