Ch1,Ch2,Ch3,cluster
1551.0448,2072.99438,490.556976,10000
1533.4187,1011.01379,527.8102,0
4534.274,2093.84424,585.2255,110000
1564.17444,970.3569,460.183929,0
1531.91492,2164.48022,574.1373,10000
1519.03174,1048.893,8834.454,1000
1522.38074,1069.82031,9673.183,1000
4167.875,2068.6145,549.708557,110000
4433.709,2148.5896,9244.349,111000
1467.63171,1975.5625,9185.294,11000
4446.486,925.6697,563.3684,100000
4328.992,1996.06482,597.995544,110000
1550.30737,2530.821,664.1666,10000
4442.46875,1081.99036,8990.225,101000
4431.287,1079.68933,499.470367,100000
1566.72278,1045.73645,9241.175,1000
3606.99756,823.205261,382.017365,100000
4236.48242,1210.445,8819.814,101000
4242.81348,2107.71582,602.4215,110000
4214.41357,1127.62207,452.545654,100000
4219.18359,2040.9762,567.375366,110000
1498.30811,1055.98511,9283.115,1000
1482.44031,931.293762,522.011658,0
1514.797,928.502869,8475.769,1000
1528.54333,2004.29663,560.7281,10000
1579.21753,2275.40039,559.4744,10000
1466.744,1025.87122,507.152679,0
4313.89063,903.0658,457.199158,100000
1462.858,2135.60327,625.36,10000
1627.88184,1089.56677,9195.891,1000
1545.1604,965.7572,9449.279,1000
1553.37634,2156.079,543.548,10000
1476.8064,2232.96216,579.818,10000
1487.80054,1088.599,9173.316,1000
4371.611,2192.938,614.668,110000
4344.158,1108.47009,8883.828,101000
4596.084,1204.09753,10769.125,101000
4379.263,2128.569,600.8201,110000
1536.03162,1089.865,462.292633,0
1581.80115,1080.5625,9644.682,1000
1521.18457,1044.75574,9138.926,1000
4310.81055,2056.79224,8933.662,111000
1469.2063,2120.66187,593.8408,10000
1366.91382,2001.29578,8762.643,11000
4595.63037,908.0406,455.077362,100000
4507.21338,2226.44458,9202.098,111000
4313.94727,2287.7688,602.6955,110000
1461.95288,941.198547,8625.798,1000
1427.05139,2103.417,9079.497,11000
4315.60547,2157.297,587.0359,110000
4558.146,989.165039,9076.625,101000
1547.99255,1104.11047,497.249817,0
4344.73242,1829.48657,7951.55273,111000
4723.15,793.089233,459.4195,100000
1577.386,1921.69568,8687.369,11000
1351.22681,2126.90332,535.3608,10000
4417.191,2249.95752,565.4061,110000
1504.78625,2255.9624,524.471558,10000
1451.82068,2085.36621,9032.043,11000
4387.454,2038.52039,530.074341,110000
1566.09875,1043.05457,9104.332,1000
1600.78552,1108.17322,441.444977,0
4256.493,2223.89453,621.905151,110000
4363.983,2226.85059,8911.194,111000
1503.09668,2084.96387,9270.144,11000
1580.80139,1028.11719,9573.342,1000
1500.7,2063.84448,536.578552,10000
1534.04346,2107.27539,601.145142,10000
1495.84314,1046.53674,9094.048,1000
1453.96692,2120.9707,9245.866,11000
1454.80322,1002.0257,520.1973,0
4201.246,955.597839,8917.197,101000
4452.005,1135.72241,9506.515,101000
1508.18433,1057.80042,494.1761,0
1536.98755,953.1794,476.551758,0
4405.88428,2125.61914,582.2843,110000
4164.20947,2154.09424,588.0216,110000
4359.24951,1903.88831,8539.763,111000
4454.39453,1074.90637,499.909271,100000
1443.10779,2073.049,9313.026,11000
4243.881,1121.59436,480.0039,100000
1493.01685,2085.15649,9065.492,11000
1599.71875,2130.69531,545.0645,10000
1480.02332,2027.17151,539.8983,10000
1435.47021,1106.67065,451.617767,0
4195.27,1144.85852,9157.311,101000
1456.90649,2128.95752,554.5003,10000
4286.28125,2059.068,540.4965,110000
4393.13867,2172.48853,548.3114,110000
4276.94,2133.97534,519.854553,110000
4535.66943,1009.0376,8916.025,101000
1590.13379,1141.49634,469.261017,0
1580.99915,1026.06091,442.86792,0
4210.53662,1091.70789,8352.361,101000
4246.02246,2019.074,538.6491,110000
1523.48938,1139.7561,9139.397,1000
4124.37744,989.894531,8588.148,101000
1447.49438,1961.95581,489.7621,10000
1522.93909,967.897034,407.876465,0
4469.14648,2058.60376,533.0401,110000
1499.16321,2047.82568,497.4042,10000
4187.81738,2199.74976,587.1591,110000
1493.03748,1989.55518,8368.398,11000
1544.42053,1021.31604,437.420959,0
1490.526,1034.55432,9406.95,1000
4365.093,2256.779,8626.551,111000
4247.41064,2134.726,550.146,110000
4387.922,2158.69336,573.4075,110000
1485.68762,1986.00867,8741.433,11000
1531.51416,2012.479,533.9466,10000
4417.9873,1158.48682,9167.127,101000
1577.23425,2048.115,545.2398,10000
1565.68408,1088.94385,447.578278,0
1526.86511,1030.93054,476.9049,0
1422.31921,2204.24023,557.4329,10000
4360.60059,1067.39587,9027.02,101000
1559.75427,961.3863,426.360565,0
1592.80127,991.934631,459.3832,0
1583.37207,1076.32874,9526.529,1000
4542.827,2085.23438,529.9049,110000
1555.33264,1040.84814,9507.392,1000
4294.591,1139.38818,485.868652,100000
4458.335,1962.10974,564.5927,110000
1555.11316,2065.98047,9050.283,11000
4306.744,2152.227,9018.147,111000
1522.823,1020.60913,472.945648,0
1558.78528,2160.4624,550.5636,10000
4323.98535,918.926331,8954.075,101000
1517.11829,1044.86792,471.360535,0
1495.90991,1108.82678,442.543549,0
1423.10645,1157.47571,475.132477,0
1481.04907,1033.63013,504.31897,0
1607.99719,2109.235,518.5511,10000
4323.877,2012.3136,8657.767,111000
1428.78528,1097.10486,516.555847,0
1358.61072,2124.20459,9194.844,11000
1409.16748,2165.861,576.3157,10000
1693.55334,1069.064,428.732422,0
4531.612,2174.846,610.0393,110000
1551.97009,2024.00586,9138.213,11000
1481.8396,1108.39343,9364.288,1000
1511.4054,1135.80981,489.0391,0
4166.308,1099.26526,8854.054,101000
4422.65869,1156.6333,9135.635,101000
1545.36084,946.265442,9237.6875,1000
4526.69971,1156.1355,569.2267,100000
1434.96606,1159.17407,468.580231,0
1582.558,2093.86841,9535.217,11000
1442.08374,2038.17847,553.6761,10000
1450.73743,1040.38721,9183.559,1000
1591.39111,2002.8186,9269.55,11000
1576.95459,1140.01184,9692.899,1000
1558.63245,976.542664,471.30603,0
1508.26184,2064.47266,9060.132,11000
4490.55,1973.188,8922.417,111000
1438.908,2165.87915,9419.968,11000
4639.63135,963.2508,8722.185,101000
4257.711,2071.642,9160.481,111000
4686.02148,2252.61963,607.5675,110000
4531.791,2014.98645,605.332764,110000
4454.38525,2175.85669,558.697266,110000
4414.1084,2117.19019,9177.732,111000
1608.31543,1096.0647,9362.534,1000
1546.99243,1044.58179,534.3433,0
1535.50366,1178.442,9501.6,1000
4584.67334,991.094543,477.535767,100000
1506.14233,2340.30273,541.091553,10000
1492.33142,1065.124,9295.521,1000
4403.04443,1119.983,465.7756,100000
1434.7,2290.25781,521.87085,10000
4596.866,2000.99426,497.5119,110000
4331.13672,1939.47351,8624.455,111000
4540.827,1968.37134,9069.495,111000
4335.827,1049.35754,9316.888,101000
4827.99072,854.907,492.26886,100000
