Ch1,Ch2,Ch3,cluster
4470.17432,1081.997,451.500061,100000
1465.97119,2238.269,548.999,10000
1541.211,1028.49915,394.8322,0
1490.44177,1126.1167,466.1795,0
4371.774,1081.98718,8742.76,101000
1435.40308,2183.661,9293.762,11000
1563.46765,1075.76941,422.257019,0
4371.959,2228.93481,527.4187,110000
4630.86328,1072.67236,437.662384,100000
1569.9198,1124.73669,397.273224,0
1602.91663,1022.21143,441.8294,0
1477.11523,925.5141,8626.238,1000
1444.07349,2107.22827,511.945953,10000
1459.6311,955.686646,9122.333,1000
1413.99536,2023.0448,8874.693,11000
4293.13525,2015.07959,8412.343,111000
1540.13562,1069.92029,418.748383,0
1443.61047,2091.589,530.9269,10000
4285.755,958.701538,415.705322,100000
4577.6665,1126.74353,474.076263,100000
4707.057,2024.26038,8782.815,111000
1463.18091,1086.31,8974.653,1000
1508.75049,1017.12689,443.920441,0
1475.73291,1200.65942,489.252441,0
1482.40039,1069.4845,413.609955,0
4291.96143,1048.82434,8876.89,101000
4311.876,1101.4209,435.38092,100000
1508.78784,1063.523,455.244,0
1451.34851,2068.22046,9037.079,11000
4274.233,1928.80566,8040.491,111000
1490.41,1091.1261,453.578522,0
1536.08484,1019.74487,503.35437,0
1500.18555,897.074951,8839.718,1000
1557.61035,1959.57849,8892.872,11000
4482.86426,1068.71094,426.797943,100000
4394.888,2104.62573,495.387878,110000
1469.54871,1019.67535,439.981842,0
1454.62549,1070.59729,387.154816,0
4037.747,1117.14331,472.910767,100000
4541.25537,966.9174,442.3173,100000
1462.65173,2309.2207,526.698242,10000
1491.1084,1034.95386,440.5424,0
1621.48145,1048.73035,408.3191,0
4807.65869,1017.3504,457.17627,100000
1576.99854,2175.81226,489.432617,10000
1462.14856,1086.89246,445.222,0
4741.211,874.588562,419.4163,100000
4357.74756,2054.50635,8394.157,111000
1415.04956,2161.36621,545.7741,10000
1485.31116,1012.86346,442.076233,0
1438.85364,2217.026,463.64505,10000
4562.377,1051.50537,9462.473,101000
4573.943,1036.46143,9249.631,101000
1479.39636,1075.38782,440.926575,0
4377.449,1299.608,555.987,100000
1532.61438,1104.97131,449.139954,0
4488.62,1039.31262,415.942932,100000
4441.00732,938.8787,8919.039,101000
4275.8877,2139.08862,554.5263,110000
4382.88232,995.3489,448.298462,100000
4367.7334,2324.1333,516.4126,110000
1383.014,2192.70068,511.565125,10000
1521.90747,1101.39026,464.060516,0
1524.86841,965.2272,8863.016,1000
4459.738,979.4113,8722.971,101000
4288.46338,2201.31934,513.0827,110000
1614.29639,981.3918,436.49,0
1577.57959,1026.82336,421.804321,0
1509.03235,960.0605,457.8344,0
4223.03955,2201.71826,517.802551,110000
4376.19336,1001.73364,449.995941,100000
1457.26855,1066.59753,396.153076,0
1436.79932,1092.31714,457.984528,0
1559.73584,1007.01477,442.129028,0
1468.89307,998.0646,440.2577,0
1490.46411,1080.41,9064.946,1000
1493.45886,1099.40015,454.1372,0
1407.37085,2086.73242,453.1759,10000
1497.78455,2106.727,537.183533,10000
