Ch1,Ch2,Ch3,cluster
1457.05444,1037.62109,354.2387,0
1418.72583,1021.85706,416.996979,0
1423.2063,1040.60791,460.0366,0
1534.66028,1079.74353,369.2349,0
1551.40991,1029.742,406.9978,0
1397.10168,1059.97327,389.1065,0
1481.19189,1071.68323,447.157837,0
1456.63416,953.6994,358.740662,0
1438.30164,1146.0304,484.895142,0
1536.31775,1093.96521,391.4349,0
1431.35486,951.0207,402.634583,0
1482.51123,1008.4259,403.242676,0
1503.53943,927.5188,373.332336,0
1473.91223,952.9196,402.3402,0
1407.93018,966.020447,362.9002,0
1531.07471,955.0066,375.32193,0
1453.37708,987.8829,440.795166,0
1416.70972,1061.36987,414.6169,0
1477.94141,993.1434,387.3644,0
1521.301,968.2623,419.041779,0
1528.59851,1110.19507,465.0043,0
1471.38489,944.1469,389.92688,0
1576.70557,951.362244,450.912537,0
1413.8689,1112.70325,442.402557,0
1479.42322,1109.77588,477.243622,0
1543.36731,1111.44055,458.4458,0
1546.76929,1055.32544,467.808319,0
1537.37439,961.3354,432.5064,0
1399.264,1013.25354,370.2902,0
1545.92371,1081.5647,463.293732,0
1530.95923,1068.01172,417.210083,0
1509.37183,1052.807,420.289642,0
1537.63354,1060.38635,424.148163,0
1682.10413,1046.323,485.0358,0
1483.89587,1000.53528,450.191956,0
1590.72729,1045.66187,426.649048,0
1517.38086,994.0367,394.1395,0
1552.48364,998.267944,372.920227,0
1498.28027,1057.02722,421.700775,0
1485.4646,1021.87488,435.672516,0
1459.78125,1054.39319,424.9958,0
1558.91272,1131.91382,483.8293,0
1427.13342,984.681152,420.7472,0
1501.20129,1077.8833,481.767639,0
1546.75671,1100.1593,432.0295,0
1564.13611,946.4784,434.7229,0
1494.15344,939.3432,400.4192,0
1367.667,1045.92627,386.610535,0
1432.84058,1081.41479,402.287628,0
1456.15674,1091.27075,443.005,0
1460.62292,1142.88562,476.125946,0
1501.517,1042.57764,428.996948,0
1578.627,990.2063,423.7963,0
1536.8606,1082.95435,396.187836,0
1459.61316,1035.30945,446.088959,0
1503.56458,1021.05457,395.5276,0
1448.82336,1077.45251,408.761749,0
1375.15674,1027.59131,463.848846,0
1500.5802,1033.69043,430.537781,0
1448.42151,1030.297,407.993378,0
1350.57678,1159.3916,407.019684,0
1475.53711,1013.3866,385.387848,0
1482.881,1053.99487,415.4133,0
1490.407,1131.14075,400.7844,0
1521.98767,972.781,445.8571,0
1499.786,958.155,391.0004,0
1447.74731,1063.42,422.483643,0
1551.4104,978.1591,443.66687,0
1440.3418,1033.231,408.1497,0
1408.09131,1066.12964,416.5222,0
1396.22058,1035.1311,425.068146,0
1505.78394,1060.522,453.00592,0
1608.06067,913.8886,422.974945,0
1559.36682,1038.43616,417.019928,0
1470.27124,1053.93762,384.038727,0
1429.18274,1053.78967,413.213867,0
1494.44153,1034.96118,359.722534,0
1531.04285,1075.55627,445.840149,0
1347.33667,1075.02417,417.163574,0
1547.26123,1068.33484,411.359924,0
1489.57483,1043.04919,473.418274,0
1511.41077,1039.67261,409.054535,0
1508.496,1006.053,443.2798,0
1387.82971,1030.68469,355.133026,0
1414.56641,1053.425,355.263336,0
1459.90161,997.872559,425.2559,0
1469.62244,1006.7951,404.87326,0
1466.19409,1071.143,412.435028,0
1454.389,1186.6,387.103577,0
1470.278,993.44696,432.379669,0
1408.50024,1154.42639,430.587433,0
1368.59961,1117.61475,367.896545,0
1510.21558,985.355835,380.263428,0
1452.12073,1117.48853,399.024445,0
1521.15771,1161.94031,400.566254,0
1368.33191,1032.17993,414.947,0
1532.95789,1016.69116,389.5086,0
1418.69788,1031.10107,420.934,0
1488.87781,1063.13538,473.340485,0
1550.39734,1077.8949,463.3018,0
1487.29175,1004.91547,471.790283,0
1481.75452,1041.18628,395.042358,0
1412.9165,1060.45947,428.228,0
1515.63782,943.7249,395.755951,0
1430.08728,1016.3645,440.245819,0
1546.33667,874.8111,430.879944,0
1569.2699,1004.23682,400.788361,0
1516.748,915.999268,464.887238,0
1344.80627,1018.70447,374.994,0
1491.1239,998.5998,452.184753,0
1417.76331,1081.95093,416.987244,0
1498.2749,1040.38843,411.747131,0
1611.25061,1001.7265,382.906647,0
1475.44714,1109.39087,433.743042,0
1553.23743,965.8539,414.462219,0
1463.2356,1002.16132,374.709656,0
1575.99255,1006.35571,461.369049,0
1493.90784,956.395447,392.69812,0
1454.15771,1074.80872,385.583527,0
1485.48645,1082.2489,408.231,0
1553.04077,950.101563,383.0729,0
1403.16772,1100.58569,414.193573,0
1431.18884,1043.63525,332.502838,0
1540.12524,1065.96045,450.6609,0
1504.80676,1101.34827,425.7251,0
1609.73914,996.899353,423.9036,0
1454.15137,1081.894,397.14975,0
1576.43042,958.7089,433.77,0
1495.67139,1028.3512,366.268219,0
1542.505,1047.39966,442.4245,0
1436.07251,1094.39111,473.680267,0
1486.93213,982.4824,436.740265,0
1454.307,1057.73315,395.871033,0
1415.7821,979.4097,403.3873,0
1434.58582,1053.994,421.86142,0
1610.01038,996.7712,404.554962,0
1479.09387,1021.96265,421.330139,0
1523.55029,1040.44641,432.405426,0
1460.09473,1022.2063,449.805573,0
1416.81091,1045.11877,392.1388,0
1455.204,1062.03711,440.901,0
1616.42871,1033.951,445.217224,0
1518.00916,1085.80835,411.419861,0
1369.973,941.3472,365.142944,0
1607.86829,983.3699,384.17218,0
1472.89954,973.0498,434.311768,0
1493.59912,1064.80725,368.572235,0
1573.33276,902.5726,424.2652,0
1493.86523,839.0346,452.1452,0
1417.48755,1140.88025,415.2365,0
1468.37708,908.705933,397.4689,0
1415.44043,1062.4729,441.12323,0
1501.512,979.7832,443.2513,0
1511.14978,933.8085,394.804932,0
1508.02917,902.0172,401.619965,0
1468.95007,972.7576,439.224823,0
1603.54285,970.534851,444.127777,0
1530.13281,1112.60266,439.820526,0
1486.50879,1024.72,407.193359,0
1462.549,963.244141,385.9213,0
1468.35083,1045.75317,470.17865,0
1527.2168,1021.70789,442.36084,0
1476.561,879.6166,408.459656,0
1536.23059,990.1488,394.89798,0
1495.25708,1013.62671,487.638855,0
1473.39087,1122.636,429.9822,0
1590.9519,1080.49011,383.53833,0
1502.0979,1022.99261,384.806183,0
1500.608,954.0999,399.42514,0
1505.60144,1078.11719,436.007874,0
1558.54688,1041.93347,440.469818,0
1531.43225,911.739,364.0321,0
1453.24219,1083.50928,421.168549,0
1417.75439,938.1797,403.708923,0
1548.38513,1057.60986,384.766663,0
1447.24512,1035.01013,372.242981,0
1495.6156,933.2459,434.379,0
1562.17664,1019.23938,401.722076,0
1481.61194,998.744446,409.568542,0
1525.82288,994.7365,410.953247,0
1419.20044,1136.373,400.942963,0
1505.07593,958.952332,421.0072,0
1541.31,1094.40784,489.5176,0
1363.38867,1140.07849,362.2182,0
1470.77148,1067.27515,452.289063,0
1545.69727,1050.15808,406.284241,0
1499.39038,1083.29358,447.8845,0
1545.3302,949.505859,454.587555,0
1603.30762,1037.125,447.3313,0
1387.27917,1076.48364,397.45752,0
1521.0658,1005.82391,409.405823,0
1444.57117,1028.43323,441.0932,0
1473.38892,1029.22192,370.152283,0
1524.12964,966.061646,484.826752,0
1456.86182,965.947937,401.740326,0
1479.58093,893.862732,402.439636,0
1519.66077,1066.6156,425.3115,0
1476.6665,870.8443,408.734528,0
1448.0387,1099.8418,405.85553,0
1643.88135,922.670654,559.79364,0
1436.029,1028.97363,421.948029,0
1552.52588,1041.11182,467.546631,0
1473.4696,1057.794,408.041138,0
1545.2854,968.9306,395.3773,0
1526.094,1046.8269,413.064117,0
1616.97009,1099.4906,424.838074,0
1534.34839,1065.04065,443.132782,0
1438.69067,1086.87366,409.1332,0
1556.82336,987.037231,397.1553,0
1428.18,1061.06555,411.55,0
1552.68689,981.1025,426.450348,0
1561.08313,1067.601,480.829437,0
1520.673,1003.10254,427.8673,0
1478.138,1229.36523,500.352478,0
1566.88635,898.856567,369.8725,0
1457.57849,1010.22369,393.885529,0
1579.10156,962.8685,444.227844,0
1362.72217,1117.66357,420.6777,0
1596.67017,1034.27039,430.3433,0
1446.88757,964.7104,403.542328,0
1573.39172,984.1441,375.839935,0
1498.10034,1064.962,425.345428,0
1523.71533,919.222,449.7285,0
1469.34216,1057.06189,415.711029,0
1498.9,1051.51526,418.388855,0
1475.58191,1079.42053,406.2408,0
1399.87634,1068.63818,445.7215,0
1396.38013,1074.4657,357.858032,0
1529.39282,1028.28687,437.1238,0
1563.36353,1197.87549,446.021484,0
1559.418,1060.74927,431.5464,0
1654.809,992.441345,418.7338,0
1450.15356,1026.4873,424.49588,0
1583.038,963.5159,411.424622,0
1574.36133,997.296631,426.826782,0
1527.69641,1164.06921,479.548279,0
1614.66052,975.623962,443.11264,0
1446.59631,1214.28979,377.1996,0
1538.14954,981.756348,379.576355,0
1408.94458,1036.57739,419.831482,0
1634.69128,1031.36707,430.292847,0
1455.4519,1019.94122,426.851654,0
1436.10461,1122.85229,397.428925,0
1536.39844,1074.25061,400.071136,0
1485.82532,1002.43512,427.497253,0
1392.84387,1124.451,392.3347,0
1397.60059,1070.42285,425.2921,0
1481.62842,967.6105,438.6355,0
1488.14832,1098.916,451.578827,0
1508.37878,1004.39227,448.233215,0
1438.13892,1044.6405,463.465485,0
1518.74963,1003.96027,442.275,0
1553.38086,1135.76526,427.822327,0
1479.20349,1016.01508,400.377228,0
1490.20007,1098.58826,427.465973,0
1510.61841,1104.05371,415.946381,0
1474.33655,1056.489,369.8043,0
1495.95007,995.7481,394.493469,0
1522.21069,1080.04907,404.856,0
1447.29785,1106.76526,449.270844,0
1454.22253,1023.09766,374.109833,0
1514.66,1030.87488,427.775116,0
1361.888,1018.95471,393.6536,0
1480.83057,995.133545,366.685577,0
1439.57825,942.694,369.830933,0
1502.61584,942.5923,410.867279,0
1501.73083,1108.44019,470.787323,0
1488.29626,1033.75122,504.69458,0
1534.49146,1050.98267,422.916565,0
1451.38818,946.494263,390.462036,0
1345.37561,1069.31067,405.242981,0
