Ch1,Ch2,Cluster_1_2,droplet
4151.332,2120.449,0,228
3983.507,7682.679,1,229
4012.82,7450.478,1,230
4070.214,7638.321,1,231
3941.077,7525.586,1,232
4145.663,7161.863,1,233
4008.888,2124.159,0,234
4011.271,7199.614,1,235
4153.032,2131.323,0,236
4043.469,1985.023,0,237
4166.677,7484.426,1,238
4081.532,2087.306,0,239
3974.104,7688.014,1,240
3916.355,7656.53,1,241
4031.581,7157.251,1,242
3975.872,7211.361,1,243
4137.542,2069.104,0,244
4022.003,2089.812,0,245
4082.229,7712.319,1,246
4109.509,5963.333,1,247
3977.357,2045.745,0,248
4069.33,7172.039,1,249
3925.866,7029.196,1,250
3981.492,7604.149,1,251
4342.574,6861.294,1,252
4035.182,7199.614,1,253
4145.203,7138.03,1,254
3929.352,7394.359,1,255
4101.287,7634.938,1,256
3938.769,6826.786,1,257
3998.705,2008.897,0,258
4444.704,2111.89,0,259
4055.511,7364.606,1,260
4010.776,7315.098,1,261
4127.763,2148.628,0,262
4171.325,7619.286,1,263
4216.964,7302.541,1,264
4093.953,2073.417,0,265
4004.459,7652.149,1,266
4158.718,2175.979,0,267
3988.782,7411.8,1,268
4198.253,2090.192,0,269
4048.582,7781.388,1,270
4310.972,7393.745,1,271
3947.662,7079.917,1,272
4007.665,1999.428,0,273
4098.606,7841.182,1,274
4281.228,2146.457,0,275
4404.223,7046.219,1,276
3908.688,7139.278,1,277
3998.579,8028.436,1,278
3936.561,7125.279,1,279
4214.682,7180.484,1,280
3995.069,7684.728,1,281
3909.118,6864.516,1,282
4016.465,8232.595,1,283
4063.096,7416.123,1,284
4031.611,1952.633,0,285
4110.909,2129.97,0,286
4147.165,2115.019,0,287
4075.74,7882.193,1,288
4209.526,2065.792,0,289
4019.471,7220.367,1,290
4114.777,2041.701,0,291
4010.948,7638.559,1,292
4046.734,7085.589,1,293
4099.074,2024.299,0,294
3897.769,7556.111,1,295
3912.101,7731.178,1,296
3952.267,7620.3,1,297
4074.569,8187.495,1,298
3919.942,7035.713,1,299
4131.275,2036.888,0,300
4074.455,7363.396,1,301
4194.136,7286.046,1,302
4344.136,7497.646,1,303
3952.857,7268.52,1,304
4057.786,1999.977,0,305
3916.764,7457.063,1,306
4014.74,7736.772,1,307
4176.616,7601.907,1,308
4094.488,8505.17,1,309
4023.204,7619.826,1,310
3999.726,7275.103,1,311
3963.456,1964.369,0,312
4059.337,7435.613,1,313
3909.868,7603.245,1,314
4127.594,2044.55,0,315
3986.709,7273.336,1,316
4401.28,7199.195,1,317
4043.157,1992.928,0,318
3937.701,7688.525,1,319
3985.367,7707.976,1,320
4021.822,7506.032,1,321
4132.697,7508.724,1,322
4032.406,1951.396,0,323
4081.681,7690.444,1,324
4156.368,2116.77,0,325
3954.964,7679.938,1,326
3995.205,7418.895,1,327
4003.43,7833.108,1,328
4059.449,2177,0,329
3912.418,7680.179,1,330
4301.127,2128.448,0,331
4145.824,2033.411,0,332
4230.954,2149.318,0,333
4328.509,7422.682,1,334
4049.672,2013.776,0,335
3895.245,7166.428,1,336
3884.414,7100.887,1,337
3899.086,7606.733,1,338
4027.425,7388.273,1,339
4402.263,2214.27,0,340
3951.218,7821.803,1,341
4000.062,7482.049,1,342
4235.75,7393.153,1,343
4381.323,7762.642,1,344
3932.106,2072.328,0,345
3926.554,7550.217,1,346
4090.148,7504.816,1,347
4003.245,1981.593,0,348
3968.516,7386.457,1,349
4038.226,1999.894,0,350
4201.735,7523.076,1,351
4069.743,2026.615,0,352
4087.627,6788.411,1,353
4019.731,7198.247,1,354
4269.102,2159.919,0,355
3976.966,7119.309,1,356
4027.67,7680.825,1,357
3995.668,7805.844,1,358
3886.506,7578.258,1,359
4236.64,7156.216,1,360
4257.87,7473.238,1,361
4136.413,7349.417,1,362
4089.787,7650.443,1,363
3968.714,7640.109,1,364
3914.164,7301.531,1,365
4075.744,2170.635,0,366
4005.822,2102.647,0,367
4004.321,2099.544,0,368
4047.994,7383.235,1,369
4085.416,2173.834,0,370
4380.761,2218.429,0,371
4095.089,2042.043,0,372
3968.878,7952.532,1,373
4070.92,2150.635,0,374
4091.281,7092.502,1,375
4233.133,7607.452,1,376
3948.107,7666.851,1,377
4377.407,2058.087,0,378
3842.152,7435.428,1,379
3996.508,8138.045,1,380
4190.637,2100.738,0,381
3994.054,7599.907,1,382
4088.036,2064.351,0,383
3967.162,8356.806,1,384
4264.004,2253.317,0,385
3988.311,7203.36,1,386
4026.826,6845.968,1,387
3932.464,7363.844,1,388
4225.007,2203.17,0,389
4104.038,7571.708,1,390
3993.944,7096.093,1,391
3958.717,1967.195,0,392
4022.187,8079.892,1,393
4028.237,7345.949,1,394
3893.722,7367.75,1,395
4009.738,8364.213,1,396
4009.221,1966.431,0,397
4080.663,6983.921,1,398
3973.43,7027.63,1,399
4051.368,7370.271,1,400
3921.802,6952.376,1,401
4081.509,8391.572,1,402
4074.001,2210.106,0,403
3991.335,2054.726,0,404
4285.512,7578.728,1,405
4003.348,7701.824,1,406
4002.872,1974.639,0,407
4483.787,2155.88,0,408
4057.622,1950.989,0,409
3930.694,7523.771,1,410
4239.046,7458,1,411
4063.43,8457.543,1,412
3932.596,1984.209,0,413
4201.491,2106.628,0,414
3960.662,8141.969,1,415
3934.588,7629.476,1,416
4159.764,7602.257,1,417
4077.972,2054.445,0,418
3926.629,7548.508,1,419
3909.83,7321.806,1,420
3983.643,2070.456,0,421
3889.342,6944.373,1,422
3919.983,7494.802,1,423
3948.134,7362.68,1,424
3899.768,8026.696,1,425
4012.37,7847.09,1,426
4202.997,7250.763,1,427
3909.248,6871.106,1,428
4047.347,7523.036,1,429
4171.766,2151.643,0,430
3953.343,7496.718,1,431
4057.739,2053.646,0,432
3920.958,7993.256,1,433
3996.914,7080.338,1,434
4198.032,2226.759,0,435
4152.145,7295.899,1,436
4033.385,2163.824,0,437
4065.879,2121.242,0,438
4039.798,7882.105,1,439
4053.862,7966.735,1,440
3945.195,7468.63,1,441
3956.249,7336.13,1,442
4016.838,7433.13,1,443
3993.028,7290.921,1,444
4003.416,1915.178,0,445
3846.964,7389.804,1,446
4003.016,2134.611,0,447
4226.856,7809.69,1,448
3982.038,7743.953,1,449
3983.653,7832.423,1,450
3925.6,2116.96,0,451
4021.979,7704.46,1,452
3944.732,6736.653,1,453
3972.553,7837.989,1,454
3900.379,7489.078,1,455
3931.856,7352.651,1,456
4248.832,2188.706,0,457
4147.267,7495.938,1,458
4275.71,7281.771,1,459
4080.905,7230.468,1,460
4085.624,7875.883,1,461
4174.696,7312.923,1,462
4009.757,7058.299,1,463
3942.677,7473.125,1,464
3911.582,7546.947,1,465
3920.74,7393.796,1,466
4223.752,7336.175,1,467
4084.349,8003.706,1,468
4352.973,2226.134,0,469
4096.178,2103.533,0,470
4109.447,7696.152,1,471
4022.856,8058.073,1,472
3958.413,2039.988,0,473
3918.078,7491.82,1,474
4299.251,7346.061,1,475
3945.626,7769.614,1,476
4026.64,7861.494,1,477
4240.869,2138.962,0,478
3924.433,7201.744,1,479
4050.571,2055.399,0,480
4046.875,1973.443,0,481
4034.209,1995.807,0,482
4153.492,7455.244,1,483
3990.994,7881.674,1,484
3954.586,7447.118,1,485
4002.014,7683.751,1,486
3994.88,8397.2,1,487
4111.101,7838.807,1,488
4120.751,2087.896,0,489
4106.504,7677.425,1,490
4242.556,2163.259,0,491
4100.63,2053.186,0,492
3954.737,7593.147,1,493
3988.801,5547.171,1,494
3964.735,7177.062,1,495
3945.534,7525.118,1,496
4031.276,2040.959,0,497
4197.988,7458.157,1,498
4016.493,7018.756,1,499
4223.835,7725.943,1,500
3879.566,7660.184,1,501
4173.18,2056.021,0,502
3968.978,6904.444,1,503
4081.302,2024.75,0,504
3996.11,8101.539,1,505
4090.432,7175.318,1,506
3946.694,1946.244,0,507
3926.918,7288.133,1,508
4150.3,7568.104,1,509
4116.137,2116.414,0,510
3889.078,7592.553,1,511
4008.911,7096.444,1,512
4206.916,2170.228,0,513
3985.645,7545.413,1,514
4313.654,7394.305,1,515
4005.031,7399.297,1,516
4021.146,7256.913,1,517
3873.669,7305.616,1,518
3950.084,7728.711,1,519
4122.536,8416.338,1,520
3989.248,2109.872,0,521
3993.16,7340.78,1,522
3948.65,7678.122,1,523
4137.828,2171.938,0,524
4120.375,7537.346,1,525
4000.256,7493.286,1,526
4185.256,2164.701,0,527
3808.709,6975.369,1,528
3979.854,7096.662,1,529
3862.001,7315.94,1,530
4137.383,7567.517,1,531
3929.451,7880.591,1,532
3921.539,7219.328,1,533
4162.278,7681.42,1,534
3926.889,7745.435,1,535
3908.968,7467.748,1,536
4242.807,7642.067,1,537
3883.036,7489.454,1,538
4051.119,2001.211,0,539
4135.46,7406.657,1,540
4043.344,2099.578,0,541
4032.848,6970.693,1,542
3945.677,7066.618,1,543
4295.817,6981.09,1,544
3982.727,7279.603,1,545
3952.287,7216.278,1,546
4050.906,7459.551,1,547
3955.901,8288.992,1,548
3862.106,7678.091,1,549
4020.004,8069.379,1,550
4058.349,7736.951,1,551
4048.375,7078.303,1,552
4003.638,7326.469,1,553
4166.514,7041.31,1,554
4277.868,7397.465,1,555
4060.026,7065.485,1,556
4067.689,2073.204,0,557
3946.537,7258.086,1,558
4058.148,7905.516,1,559
4193.33,2181.693,0,560
4040.776,7415.374,1,561
4172.447,2259.041,0,562
4031.884,6786.527,1,563
3973.355,7216.007,1,564
3840.453,7602.43,1,565
4117.882,2104.714,0,566
3939.512,7313.501,1,567
4027.136,7628.388,1,568
4116.023,2165.932,0,569
4098.275,1979.185,0,570
4048.946,7337.762,1,571
3946.495,7482.447,1,572
4089.365,7506.352,1,573
3911.581,7421.787,1,574
3936.565,7710.941,1,575
4085.139,7180.737,1,576
4194.694,7346.836,1,577
3961.183,2079.274,0,578
4058.488,2031.834,0,579
4162.073,7526.075,1,580
3931.435,7686.604,1,581
3984.124,7657.685,1,582
4118.732,7893.253,1,583
4017.768,7181.665,1,584
4076.8,1898.06,0,585
3823.208,7495.038,1,586
4371.427,7183.208,1,587
4081.63,8378.104,1,588
4064.931,7659.25,1,589
4226.989,2135.235,0,590
3947.256,7106.494,1,591
3936.202,7214.456,1,592
4006.044,2043.321,0,593
3947.751,7566.737,1,594
4220.403,7274.637,1,595
3833.941,7312.015,1,596
4123.323,2134.208,0,597
3969.842,7189.808,1,598
4276.032,7283.042,1,599
4028.272,7737.343,1,600
4046.652,7376.021,1,601
4390.197,2041.917,0,602
3849.292,7142.327,1,603
4028.034,7256.217,1,604
4072.517,7906.467,1,605
4434.296,2078.258,0,606
3933.844,7743.091,1,607
4022.17,2047.366,0,608
3897.707,7686.474,1,609
4002.244,7564.112,1,610
3992.551,7509.569,1,611
3942.8,7295.547,1,612
4053.333,7799.229,1,613
4195.429,7256.953,1,614
3950.38,6625.054,1,615
4081.775,1963.47,0,616
3986.507,7277.923,1,617
4005.846,8219.24,1,618
3868.695,7481.172,1,619
3897.446,7520.367,1,620
3979.656,7670.701,1,621
3901.69,7207.726,1,622
3983.719,6844.479,1,623
3940.994,7324.168,1,624
4011.19,8039.961,1,625
4081.657,7788.946,1,626
3919.295,8172.415,1,627
4043.728,7677.272,1,628
3993.949,7545.692,1,629
4247.604,2201.809,0,630
3917.908,7306.286,1,631
4056.573,2006.251,0,632
3938.205,7554.081,1,633
3931.552,7825.063,1,634
3970.082,7921.012,1,635
4068.913,2212.796,0,636
4053.551,1995.487,0,637
