Ch1,Ch2,Cluster,droplet
4051.87,7839.839,1,1
4089.816,7514.216,1,2
4096.289,1991.51,0,3
4105.72,2058.116,0,4
3941.3,7765.09,1,5
4195.201,2042.33,0,6
4108.794,7676.439,1,7
4054.168,7113.348,1,8
4432.339,7200.228,1,9
4327.02,2152.261,0,10
4010.871,2061.287,0,11
3988.834,7291.009,1,12
4072.614,2032.315,0,13
4202.34,7411.997,1,14
4179.867,7278.144,1,15
4065.931,7462.352,1,16
3963.917,8078.944,1,17
4037.485,1982.746,0,18
10594.01,7225.917,11,19
3980.471,7347.625,1,20
3987.019,7377.861,1,21
4114.515,7856.759,1,22
4008.367,7776.928,1,23
4128.678,7743.581,1,24
4229.211,7528.604,1,25
4104.938,7092.671,1,26
3958.024,7682.426,1,27
4145.366,7593.761,1,28
3984.292,2080.194,0,29
3953.043,7516.176,1,30
4006.336,7562.604,1,31
4135.52,1946.704,0,32
3908.612,7755.974,1,33
4164.583,2151.154,0,34
3918.549,7438.986,1,35
4139.266,7581.878,1,36
4194.948,7122.552,1,37
4272.23,2070.244,0,38
3996.459,7950.794,1,39
4174.455,7205.724,1,40
4005.848,8066.01,1,41
4043.936,7661.501,1,42
4083.94,7791.71,1,43
3948.5,7769.366,1,44
11228.84,7738.056,11,45
3949.543,7586.068,1,46
4018.406,7389.37,1,47
4184.916,7569.433,1,48
4151.937,7277.704,1,49
4036.155,7449.849,1,50
4202.676,2166.716,0,51
4027.605,7182.202,1,52
4441.575,7286.758,1,53
4168.236,2008.116,0,54
11089.78,7292.989,11,55
4014.767,7680.833,1,56
4059.735,2058.823,0,57
4436.899,7652.555,1,58
4001.78,7559.203,1,59
4139.234,7200.806,1,60
4399.854,7888.336,1,61
3949.071,7418.418,1,62
4190.356,2188.988,0,63
3931.417,7297.477,1,64
3920.242,8076.768,1,65
4005.117,7703.091,1,66
4029.598,7284.655,1,67
4143.624,2162.526,0,68
4016.977,7670.645,1,69
4065.033,1985.125,0,70
4082.125,6936.811,1,71
4103.796,7734.489,1,72
4121.204,2123.537,0,73
3986.239,7545.04,1,74
4074.153,7324.208,1,75
4001.711,8082.612,1,76
4333.015,2140.504,0,77
3968.346,7788.433,1,78
4117.983,8232.841,1,79
3879.663,7924.978,1,80
4089.696,7013.514,1,81
3990.964,7501.997,1,82
3922.42,7175.839,1,83
4152.237,7638.427,1,84
3975.559,6865.969,1,85
4295.179,2182.758,0,86
4294.686,7181.175,1,87
4194.064,7471.066,1,88
4037.726,2029.073,0,89
3995.579,1980.279,0,90
3969.167,7719.455,1,91
4320.632,2151.302,0,92
3978.6,8031.797,1,93
4512.058,2208.972,0,94
4101.97,2082.549,0,95
4078.337,2056.653,0,96
4349.43,7211.937,1,97
10876.46,7480.256,11,98
4243.127,2083.366,0,99
4044.04,2078.179,0,100
13168.17,7528.101,11,101
4346.782,2136.122,0,102
4070.536,7433.839,1,103
4067.197,7090.944,1,104
4008.925,7651.416,1,105
3978.502,7421.552,1,106
4074.236,7834.341,1,107
3996.032,7025.289,1,108
3982.275,7528.187,1,109
3987.125,7079.082,1,110
4327.224,7273.703,1,111
4079.604,2037.181,0,112
4118.62,7107.999,1,113
4502.659,7013.948,1,114
4181.215,2180.138,0,115
4019.85,2143.818,0,116
4099.207,7449.234,1,117
4289.428,7241.422,1,118
4213.135,2107.835,0,119
4034.671,2062.116,0,120
10991.07,7230.468,11,121
3955.067,7220.042,1,122
4059.269,2007.195,0,123
4059.815,2064.969,0,124
4245.048,2037.466,0,125
13551.72,2003.847,10,126
13314.86,2022.608,10,127
4051.362,2103.391,0,128
4032.517,2011.78,0,129
3992.878,7752.639,1,130
4017.914,2000.422,0,131
4086.564,7074.209,1,132
3980.137,7038.12,1,133
4030.878,7265.038,1,134
3967,7348.268,1,135
4052.155,1977.039,0,136
4105.445,7771.475,1,137
4079.924,7695.264,1,138
4242.741,2243.997,0,139
3987.684,7181.945,1,140
3952.734,7856.308,1,141
4108.422,7696.083,1,142
3956.267,7675.822,1,143
