Ch1,Ch2,Ch3,cluster
1541.45386,1072.5271,376.274078,0
1556.51184,1061.74768,9240.5625,1000
1426.82471,1173.55627,376.60376,0
1614.1106,964.6194,414.439117,0
1602.84534,978.1007,442.134918,0
1447.27393,1018.43384,390.119324,0
1535.57861,1103.61841,414.117065,0
1483.664,1059.90771,452.598267,0
1521.59729,1124.72217,373.2415,0
1533.32361,1049.03625,416.176941,0
1631.68469,948.7814,442.41037,0
1570.97742,996.1478,398.032257,0
1533.55139,1058.41541,388.953766,0
4523.432,1032.149,411.4246,100000
1548.09326,1041.02515,461.494629,0
1411.49829,1113.13281,376.469269,0
1529.88892,2105.12549,455.701752,10000
1570.21313,1093.64319,457.6219,0
1503.15955,1088.4397,397.343567,0
1492.51807,1010.7334,8963.731,1000
1518.77588,1034.67834,402.4641,0
1607.15112,1129.00415,450.295837,0
1621.782,1115.82471,477.521484,0
1708.11536,1003.8335,469.054657,0
4141.8623,1136.35291,405.639465,100000
1602.55554,1138.20752,421.155975,0
4344.681,1035.52551,430.341583,100000
1439.041,1097.986,446.685944,0
1489.859,1054.481,409.5344,0
1538.48828,1020.00909,401.928864,0
1508.50732,938.2163,371.1741,0
4334.09766,1036.58142,392.6171,100000
1576.59216,1122.49658,9296.309,1000
4407.047,1027.33044,431.845154,100000
1619.415,960.4869,479.1682,0
1568.58533,1091.48279,389.643,0
1441.04163,1070.06665,439.67804,0
1559.45313,993.9493,363.305573,0
1513.15137,1038.99182,410.2709,0
1547.005,1027.34058,8722.065,1000
1424.47278,1088.08667,367.674683,0
1501.962,1135.94421,409.6473,0
1501.69189,1044.07263,415.1552,0
1516.47864,1062.62463,434.1094,0
1603.43262,994.2127,412.3059,0
1522.48364,955.7758,400.310852,0
1631.58545,1026.895,403.314972,0
1574.32654,1049.33618,413.911926,0
1468.19141,1014.85675,409.0363,0
1506.81848,1073.06958,460.4692,0
4395.21631,1156.8335,391.502258,100000
1520.38257,1011.95325,438.111938,0
1561.64465,1145.43152,483.3814,0
1537.6637,905.3342,465.736176,0
1526.53259,1040.099,440.2488,0
4249.16162,1085.48022,422.797882,100000
1574.9873,1013.27161,371.6225,0
1593.21094,1087.71838,418.162628,0
1548.8114,1001.06415,447.948334,0
1531.96484,1060.42688,9046.905,1000
1545.76392,1028.73535,402.127838,0
1406.49207,1022.51807,414.535156,0
1526.24072,1106.46326,424.49646,0
4435.798,1125.31982,451.635223,100000
1470.92932,1000.42755,8964.97949,1000
