Ch1,Ch2,Ch3,cluster
1494.633,1104.28174,411.799652,0
1564.2439,1049.03455,429.513245,0
1494.07166,1131.32422,427.9963,0
1593.7301,1056.69568,423.0939,0
1502.592,2206.98486,490.1746,10000
1605.49768,1055.10376,492.210358,0
1551.44653,978.251465,400.7293,0
1595.63635,1014.781,405.5098,0
1572.22925,1132.76343,422.960876,0
4619.368,1141.69348,9951.393,101000
1603.02209,1066.18628,435.393372,0
1520.43176,1045.30334,411.943024,0
1481.09656,1011.22876,435.7539,0
1609.15918,910.900269,385.052582,0
1520.68018,1005.38837,439.21344,0
1619.15247,1044.57654,426.59375,0
1427.69275,2374.95874,491.89856,10000
1490.11584,1070.73438,429.788666,0
1537.15308,1050.9502,378.416138,0
1550.48132,1029.27576,390.901031,0
4752.05859,1006.14996,464.9044,100000
1602.9436,988.604065,9102.89551,1000
1577.09827,1030.3175,9241.256,1000
1467.34131,1145.30566,457.962982,0
1623.90649,994.304932,443.890442,0
1503.41772,1054.89392,361.21286,0
1631.38086,999.190063,446.618,0
1580.5332,1148.78589,452.59726,0
1403.27319,1170.47693,379.553284,0
1551.14526,974.69574,404.402863,0
1534.33594,2222.856,483.608032,10000
4461.534,1162.5426,368.591858,100000
1492.75574,1011.97784,332.8888,0
1382.55774,1102.23,448.875519,0
1656.2063,1088.17383,394.0028,0
1532.34814,1047.90149,433.1832,0
1453.61841,1107.77051,470.9055,0
1420.21606,2278.20313,460.797241,10000
1522.44971,1016.76434,391.676666,0
1426.951,1122.4928,419.509766,0
1576.7323,1024.355,398.105469,0
1514.25378,934.145569,9113.883,1000
1513.78906,1073.295,383.1354,0
1528.95142,1026.288,383.442535,0
1576.36536,1052.57031,406.4732,0
1545.04407,1099.27747,434.4328,0
1526.62537,1129.89941,457.443726,0
1551.38684,1093.17725,413.54184,0
1475.17529,997.5286,446.767975,0
1377.704,1094.92017,352.4776,0
4445.561,925.658264,416.667419,100000
1589.67,1070.08093,434.8865,0
1487.2428,1127.46472,460.2759,0
1451.57324,1041.69556,418.9555,0
1447.87061,2285.852,515.624,10000
4653.66455,1017.27374,429.496948,100000
1473.46948,1057.53723,485.199219,0
1486.75879,1079.29236,443.925842,0
1507.39319,1108.11072,407.551422,0
1483.27063,1052.727,402.835358,0
1585.61169,1010.18713,415.664185,0
