Ch1,Ch2,Cluster,droplet
4139.518,7959.375,1,228
3923.243,7677.635,1,229
10534.59,7721.037,11,230
3935.319,7237.977,1,231
4002.156,7632.948,1,232
11005.61,2081.315,10,233
3960.162,7269.24,1,234
4005.296,8270.112,1,235
3986.055,7297.117,1,236
11302.37,7636.828,11,237
4059.303,2147.126,0,238
3929.988,7707.151,1,239
10820.09,7580.401,11,240
11898.53,8596.724,11,241
3956.429,7178.261,1,242
10878.62,7533.619,11,243
3970.365,8060.462,1,244
11498.11,8045.824,11,245
10386.3,7599.428,11,246
10595.1,7468.762,11,247
4117.003,2122.542,0,248
3904.725,8119.132,1,249
11845.42,8321.877,11,250
11071.99,7451.343,11,251
11114.1,2227.252,10,252
4092.263,7398.881,1,253
10635.07,7555.427,11,254
4120.322,7146.648,1,255
11454.82,8307.757,11,256
4024.02,8351.966,1,257
3978.279,7730.415,1,258
10710.69,7544.659,11,259
3851.362,8244.942,1,260
11314.31,7801.435,11,261
10662.82,7530.423,11,262
3953.924,7689.604,1,263
10414.77,7757.83,11,264
10815.45,7839.054,11,265
4355.734,7552.127,1,266
3802.509,7994.966,1,267
4034.082,7736.584,1,268
3940.498,7423.003,1,269
3984.129,7476.045,1,270
3945.985,7683.533,1,271
3960.869,7902.628,1,272
4473.371,7604.526,1,273
4004.992,7993.455,1,274
3939.393,7956.021,1,275
11673.59,8435.189,11,276
3987.507,7645.036,1,277
4236.854,7538.008,1,278
3843.137,7709.801,1,279
4354.07,7854.285,1,280
4095.41,7622.552,1,281
10855.69,7663.628,11,282
4090.56,2087.314,0,283
3925.828,8097.635,1,284
10634.77,7502.78,11,285
10691.29,7627.166,11,286
3880.662,7533.729,1,287
3935.045,7387.294,1,288
11086.37,7428.275,11,289
3854.298,7241.081,1,290
4163.356,7646.28,1,291
10991.93,7697.662,11,292
4283.722,7871.009,1,293
3911.65,7439.005,1,294
11122.01,8249.556,11,295
3916.217,7855.486,1,296
11105.1,7581.78,11,297
3973.459,7606.991,1,298
10549.53,7277.51,11,299
3942.315,7926.202,1,300
11165.77,7768.929,11,301
3928.715,7932.603,1,302
4063.361,7317.388,1,303
11366.11,8720.664,11,304
11482.61,8031.275,11,305
11182.96,7792.844,11,306
3949.258,8319.054,1,307
3851.621,7817.385,1,308
3907.776,7440.104,1,309
11224.14,2479.691,10,310
4020.1,7372.103,1,311
10933.62,7828.452,11,312
3934.164,7489.52,1,313
