Ch1,Ch2,Cluster_1_2,droplet
4050.971,6894.481,1,1
4098.119,7275.113,1,2
4088.933,7680.972,1,3
4094.81,7288.974,1,4
4252.15,7369.213,1,5
4247.007,7027.936,1,6
4247.984,7414.821,1,7
4476.614,7680.797,1,8
4097.619,7495.377,1,9
4386.285,7309.92,1,10
4147.791,2277.257,0,11
4488.526,2150.913,0,12
3991.884,8075.156,1,13
4124.983,7483.914,1,14
4396.518,2260.853,0,15
4182.77,7431.42,1,16
3955.971,7402.425,1,17
4071.732,7563.925,1,18
4252.506,2134.081,0,19
4029.738,7614.024,1,20
4369.196,7704.091,1,21
3968.716,7158.975,1,22
4056.569,2132.852,0,23
4074.509,1881.565,0,24
4115.624,7644.184,1,25
4442.025,7267.537,1,26
4153.265,1919.749,0,27
4443.188,7111.19,1,28
4138.894,7946.536,1,29
4093.534,7652.951,1,30
4172.682,8243.819,1,31
4274.263,2148.015,0,32
4063.35,7363.988,1,33
4351.754,7409.812,1,34
4063.098,7607.302,1,35
4117.35,7089.899,1,36
4079.744,2029.521,0,37
3967.772,7574.326,1,38
4055.621,7617.704,1,39
4313.272,7418.47,1,40
3975.073,7250.768,1,41
4013.539,7851.115,1,42
4141.7,2048.503,0,43
4175.876,7376.803,1,44
4059.973,2057.586,0,45
3908.129,7549.751,1,46
4135.924,8365.618,1,47
4051.085,7965.073,1,48
4100.583,2022.06,0,49
4091.223,7756.356,1,50
4014.306,7214.95,1,51
3979.504,7451.263,1,52
4096.076,7104.771,1,53
4138.504,2036.624,0,54
3885.242,7679.046,1,55
4406.365,6926.348,1,56
4167.296,2094.375,0,57
3982.116,7353.798,1,58
4087.114,2033.437,0,59
4305.636,1980.701,0,60
4137.059,1993.232,0,61
4241.928,8018.276,1,62
4039.592,7208.049,1,63
4107.703,7273.32,1,64
4211.255,2161.344,0,65
4029.267,7980.287,1,66
4117.146,7406.174,1,67
4023.418,7382.163,1,68
4053.885,2064.39,0,69
4138.715,1995.199,0,70
4164.963,2119.152,0,71
4385.313,7337.986,1,72
4082.258,7613.995,1,73
4068.17,7715.048,1,74
4149.901,2029.833,0,75
4237.792,2041.731,0,76
4114.339,4226.21,1,77
4026.104,2014.645,0,78
4053.624,1989.552,0,79
4012.888,8030.185,1,80
4226.548,7783.313,1,81
4188.529,7367.744,1,82
3943.17,7929.73,1,83
4121.458,2061.842,0,84
3973.487,7959.362,1,85
4081.384,7209.947,1,86
4240.206,2129.63,0,87
3958.125,2087.326,0,88
4224.566,2222.637,0,89
4038.22,7542.975,1,90
4076.057,7670.758,1,91
3934.018,7595.275,1,92
4076.818,8044.949,1,93
4353.142,7475.051,1,94
4432.093,2252.198,0,95
4003.756,8092.442,1,96
4023.891,7448.652,1,97
4115.266,7677.903,1,98
4020.814,2010.885,0,99
4172.329,7213.764,1,100
4239.892,7606.606,1,101
4142.478,7465.368,1,102
4069.529,7502.684,1,103
4092.736,2047.864,0,104
4063.222,7998.539,1,105
4099.897,8001.534,1,106
4010.593,8125.438,1,107
4000.821,2073.311,0,108
4208.67,7699.902,1,109
4055.742,2063.083,0,110
4201.283,2092.847,0,111
4098.103,2015.63,0,112
4339.736,2126.695,0,113
4011.016,7176.721,1,114
4125.352,2025.105,0,115
4050.62,7229.624,1,116
4474.455,2186.968,0,117
4122.387,1990.559,0,118
4313.852,2075.365,0,119
4037.419,7421.959,1,120
4013.036,8066.497,1,121
4186.662,2098.877,0,122
4152.902,8091.85,1,123
4066.043,7661.773,1,124
4142.73,2060.206,0,125
4427.26,7506.834,1,126
4003.722,7907.167,1,127
4266.792,2132.565,0,128
4114.827,1897.504,0,129
4033.248,7416.456,1,130
4065.707,8149.091,1,131
4067.102,7480.025,1,132
4139.131,2144.109,0,133
4128.04,2005.038,0,134
3978.452,8036.785,1,135
4107.541,2042.997,0,136
4172.758,7871.713,1,137
4283.221,7359.122,1,138
4157.19,7573.435,1,139
4054.696,1997.35,0,140
4000.828,7248.109,1,141
4410.232,7425.511,1,142
4021.069,2043.255,0,143
4044.847,7855.678,1,144
4013.483,7350.102,1,145
4021.464,7381.985,1,146
4035.128,8178.948,1,147
4220.243,2199.007,0,148
4124.098,7022.529,1,149
4126.861,7695.648,1,150
4190.089,2140.414,0,151
4106.723,2048.21,0,152
3964.089,7244.206,1,153
4009.948,7157.511,1,154
4034.261,2023.551,0,155
4003.252,2074.519,0,156
4028.613,2055.749,0,157
4235.672,2207.981,0,158
4064.792,1927.387,0,159
4106.935,7406.248,1,160
4065.694,7618.258,1,161
4038.474,7282.27,1,162
3992.544,1970.061,0,163
4008.373,7372.332,1,164
4077.51,7458.515,1,165
3986.579,8252.138,1,166
4126.935,1970.9,0,167
4026.588,7742.755,1,168
3966.322,7520.352,1,169
4073.043,2033.752,0,170
4086.465,2149.137,0,171
4168.914,7530.868,1,172
4089.952,8190.222,1,173
4428.296,2301.939,0,174
4066.386,7194.904,1,175
4135.979,2030.036,0,176
3998.63,8095.308,1,177
3835.44,7618.396,1,178
4152.713,2060.103,0,179
3999.885,6757.263,1,180
3992.978,7600.236,1,181
3929.758,7116.482,1,182
3994.41,7568.779,1,183
4194.732,7380.564,1,184
4082.985,2050.77,0,185
4133.993,7499.947,1,186
4201.058,7197.811,1,187
4211.462,2077.381,0,188
4156.059,7903.758,1,189
4037.986,7656.932,1,190
4182.909,2355.365,0,191
4464.848,2227.031,0,192
4294.482,7193.069,1,193
4338.261,2118.436,0,194
4038.809,7312.323,1,195
4054.095,7694.286,1,196
4259.449,2233.037,0,197
4391.988,7192.088,1,198
4139.196,8179.256,1,199
4089.493,7604.812,1,200
4263.14,2091.634,0,201
4496.875,2181.112,0,202
4034.701,7133.976,1,203
4121.366,6442.04,1,204
3940.794,7569.903,1,205
4106.493,8281.622,1,206
4096.332,2141.34,0,207
4376.209,2138.461,0,208
4157.817,2067.819,0,209
4000.083,7550.825,1,210
4373.466,2182.961,0,211
4128.099,1997.913,0,212
4032.477,7225.148,1,213
3972.384,7095.911,1,214
4046.592,2022.95,0,215
4072.624,7656.84,1,216
4432.7,2216.118,0,217
4120.05,7871.808,1,218
4176.266,7260.367,1,219
4022.903,7120.795,1,220
4083.947,7320.819,1,221
3989.728,7559.433,1,222
4461.727,7560.133,1,223
4038.289,7525.452,1,224
4061.188,7467.973,1,225
3949.83,7082.919,1,226
4107.401,2030.055,0,227
4220.181,2329.305,0,228
3962.652,7594.687,1,229
4248.872,2092.974,0,230
4300.21,7629.557,1,231
4178.553,7190.538,1,232
4568.069,2151.059,0,233
4121.473,8238.34,1,234
4020.708,2072.96,0,235
3915.904,7495.485,1,236
4341.567,2102.552,0,237
4363.898,7425.771,1,238
4178.463,7355.94,1,239
4160.516,2097.361,0,240
4015.67,7130.884,1,241
4124.715,2036.051,0,242
4087.089,8348.728,1,243
4129.568,7517.097,1,244
4142.629,8190.684,1,245
4082.119,1977.542,0,246
4160.22,2230.384,0,247
4000.856,7720.561,1,248
4110.052,7591.434,1,249
4030.158,7122.521,1,250
3938.917,7692.621,1,251
4012.724,7532.412,1,252
4231.07,7419.683,1,253
4278.798,7253.098,1,254
4123.94,7996.058,1,255
3964.5,7683.421,1,256
4118.413,7564.229,1,257
4007.991,6979.42,1,258
4132.659,7726.928,1,259
4003.014,7715.294,1,260
4202.472,2126.254,0,261
4268.399,7339.799,1,262
4233.88,7599.049,1,263
3978.741,2133.472,0,264
4145.591,2172.527,0,265
3882.381,7400.861,1,266
4055.649,7604.661,1,267
4006.787,7574.584,1,268
4122.517,1958.891,0,269
4069.543,7044.56,1,270
4219.956,7848.503,1,271
4153.645,7212.161,1,272
4086.849,7393.419,1,273
4089.748,8199.833,1,274
11423.49,7855.845,11,275
4014.352,8233.242,1,276
3984.554,7509.551,1,277
3950.109,7192.644,1,278
4219.226,7661.907,1,279
3966.136,7664.649,1,280
4003.459,7335.787,1,281
4060.424,6896.216,1,282
4282.18,2322.296,0,283
4217.732,2028.195,0,284
